,title,description,originallink,link,pubDate
184,SK &apos;에너지솔루션 플랫폼&apos;구축 날개 美 선도기업 &apos;아톰파워&apos; 경영권 인수,"사용 <b>데이터</b>를 측정하고 수집하는 역할도 한다. 아톰파워가 자체 개발한 전류센서와 소프트웨어 덕분이다. 아톰파워의 회로차단기가 수집하는 <b>데이터</b>는 전력 사용량, 태양광 발전량, 전기차 충전량, 에너지 저장장치... ",http://www.smedaily.co.kr/news/articleView.html?idxno=236918,http://www.smedaily.co.kr/news/articleView.html?idxno=236918,"Thu, 18 Aug 2022 08:36:00 +0900"
185,안과 단일 전문병원으로 60년…안과의 표준 만들어가는 김안과병원,장 원장은 김안과병원이 안과 전문병원으로 <b>빅데이터</b> 구축 등 정부 사업에도 적극 참여하고 있다고 했다. 대학과 컨소시엄을 구성해 황반변성 등 <b>빅데이터</b>를 구축하고 있는 것. 장 원장은 또 임상연구센터 운영을 통해... ,http://www.docdocdoc.co.kr/news/articleView.html?idxno=2026244,http://www.docdocdoc.co.kr/news/articleView.html?idxno=2026244,"Thu, 18 Aug 2022 08:34:00 +0900"
186,"SK㈜·SK에너지, 美 전기차 충전 솔루션 업체 &apos;아톰파워&apos; 2000억에 인수","사용 <b>데이터</b>를 측정하고 수집하는 역할도 한다. 아톰파워의 회로차단기가 수집하는 <b>데이터</b>는 전력 사용량, 태양광 발전량, 전기차 충전량, 에너지 저장장치(ESS) 충∙방전량 등 다양하다. 회로차단기가 모은 전력... ",http://www.newsworks.co.kr/news/articleView.html?idxno=606448,http://www.newsworks.co.kr/news/articleView.html?idxno=606448,"Thu, 18 Aug 2022 08:32:00 +0900"
187,"SK㈜-SK에너지, 1억5천만달러에 美 에너지솔루션 &apos;아톰파워&apos; 인수","사용 <b>데이터</b>를 측정하고 수집하는 역할도 한다. 아톰파워가 자체 개발한 전류센서와 소프트웨어 덕분이다. 아톰파워의 회로차단기가 수집하는 <b>데이터</b>는 전력 사용량, 태양광 발전량, 전기차 충전량, 에너지 저장장치... ",http://www.newsway.co.kr/news/view?tp=1&ud=2022081808304271928,http://www.newsway.co.kr/news/view?tp=1&ud=2022081808304271928,"Thu, 18 Aug 2022 08:32:00 +0900"
188,"SK㈜-SK에너지, 美 에너지솔루션 전문기업 &apos;아톰파워&apos; 인수","아톰파워의 회로차단기가 수집하는 데이터는 전력 사용량, 태양광 발전량, 전기차 충전량, 에너지 저장장치(ESS) 충∙방전량 등 다양하다. 회로차단기가 모은 전력 <b>빅데이터</b>는 각 세대는 물론 지역 단위의... ",http://www.businesskorea.co.kr/news/articleView.html?idxno=98641,http://www.businesskorea.co.kr/news/articleView.html?idxno=98641,"Thu, 18 Aug 2022 08:32:00 +0900"
189,"SK㈜·SK에너지, 美 에너지기업 &apos;아톰파워&apos; 1900억원에 인수","사용 <b>데이터</b>를 측정하고 수집하는 역할도 한다. 아톰파워가 자체 개발한 전류센서와 소프트웨어 덕분이다. 아톰파워의 회로차단기가 수집하는 <b>데이터</b>는 전력 사용량, 태양광 발전량, 전기차 충전량, 에너지 저장장치... ",https://www.ebn.co.kr/news/view/1542872/?sc=Naver,https://www.ebn.co.kr/news/view/1542872/?sc=Naver,"Thu, 18 Aug 2022 08:32:00 +0900"
190,"[e브랜드평판] 두산에너빌리티, 원자력 발전 브랜드평판 1위··한전·현대건...",이넷뉴스 에너지 톱 브랜드위원회는 18일 원자력발전 관련 상장기업 &apos;2022년 8월 <b>빅데이터</b> 분석결과&apos;를... 이넷뉴스와 한국기업평판연구소는 원자력발전 관련 상장기업 45개 브랜드에 대해서 <b>빅데이터</b> 분석을... ,https://www.enetnews.co.kr/news/articleView.html?idxno=6548,https://www.enetnews.co.kr/news/articleView.html?idxno=6548,"Thu, 18 Aug 2022 08:32:00 +0900"
191,"SK㈜-SK에너지, 美에너지솔루션 기업 2000억원에 인수","사용 <b>데이터</b>를 측정하고 수집하는 역할도 한다. 아톰파워는 이를 위해 전류센서와 소프트웨어를 자체 개발했다. 아톰파워의 회로차단기가 수집하는 <b>데이터</b>는 전력 사용량, 태양광 발전량, 전기차 충전량, 에너지... ",https://biz.chosun.com/industry/company/2022/08/18/SHIDMURCWJBK3KEZ5DAZL73ELA/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://n.news.naver.com/mnews/article/366/0000834897?sid=101,"Thu, 18 Aug 2022 08:31:00 +0900"
192,"SK㈜·SK에너지, 美 에너지솔루션 기업 아톰파워 2000억원에 인수","다양한 데이터를 수집한다. 회로차단기가 모은 전력 <b>빅데이터</b>는 각 세대는 물론 지역 단위의 전력 발전, 소비 양상을 예측하는 데 활용할 수 있다. 아톰파워 회로차단기는 전기차 충전기에도 활용할 수 있다. 충전기... ",http://www.fnnews.com/news/202208180810360181,https://n.news.naver.com/mnews/article/014/0004884793?sid=101,"Thu, 18 Aug 2022 08:31:00 +0900"
193,"우리 집 수돗물 사용량은 평균일까?…서울시, 가구‧주거특성별 물 사용량 분...",서울시 에코마일리지(Eco Mileage)에 가입한 회원 중 13만419가구의 가구‧주거 <b>빅 데이터</b>와 상수도사업본부의 수도계량기 검침 데이터를(2018~2021년) 결합해 가정용 수돗물 사용량 특성을 분석했다. 서울시... ,http://www.enewstoday.co.kr/news/articleView.html?idxno=1591707,http://www.enewstoday.co.kr/news/articleView.html?idxno=1591707,"Thu, 18 Aug 2022 08:30:00 +0900"
