,title,description,originallink,link
750,[조이럭의 롤드컵 돋보기] &apos;비디디&apos;가 해결한 젠지...C9와의 8강은?,"데일리e스포츠는 2021 리그오브레전드 월드 챔피언십(롤드컵)서 &apos;조이럭&apos; 윤덕진 e스포츠 <b>데이터</b> 분석 전문 기업 ‘게임아이(GameEye)’ 대표가 참여한 기획 기사를 제공합니다. 윤덕진 대표는 리그 해설, <b>분석가</b>, 코치, 에버8... ",http://www.dailyesports.com/view.php?ud=202110191127313035b91e133c1f_27,https://sports.news.naver.com/news.nhn?oid=347&aid=0000157431
751,<b>빅데이터</b>로 본 최근 &apos;뜨거운 관심&apos; 비트코인(BTC) VS 시바이누(SHIB) 트렌드,"<b>빅데이터</b> 분석 플랫폼 썸트렌드와 함께 확인해 보았다. 비트코인 vs 시바이누, 언급량 추이는? 10월... 유명 암호화폐 <b>분석가</b>인 $SHIB KNIGHT는 트위터를 통해 시바이누 시세가 100% 급등하면서 다음 목표가인... ",http://coinreaders.com/12838,http://coinreaders.com/12838
752,"법무부-KISTI, 외국인정보 <b>빅데이터</b> 분석 교육훈련 과정 진행","법무부와 KISTI는 디지털 뉴딜 정책 실현을 목적으로 <b>빅데이터 분석가</b> 양성을 위한 보다 전문적인 교육과정을 개설하고, KISTI 과학기술 인프라를 활용한 법무부 보유 외국인 데이터 분석·외국인 종합정보 플랫폼 개발... ",http://www.boannews.com/media/view.asp?idx=101637&kind=,http://www.boannews.com/media/view.asp?idx=101637&kind=
753,"KISTI·법무부, &apos;외국인정보 <b>빅데이터</b> 분석 교육훈련 과정&apos; 추진","이를 통해 KISTI와 법무부는 디지털 및 휴먼 뉴딜 정책 실현을 목적으로 <b>빅데이터 분석가</b> 양성을 위한 전문적인 교육과정을 개설하고, KISTI의 과학기술 인프라를 활용한 법무부 보유데이터 분석, 외국인 종합정보 분석... ",http://www.ggilbo.com/news/articleView.html?idxno=874061,http://www.ggilbo.com/news/articleView.html?idxno=874061
754,"법무부-KISTI, 외국인정보 <b>빅데이터</b> 분석 교육훈련과정 진행","법무부와 KISTI는 디지털 뉴딜 정책 실현을 목적으로 <b>빅데이터 분석가</b> 양성을 위한 보다 전문적인 교육과정을 개설하고, KISTI 과학기술 인프라를 활용한 법무부 보유 외국인 데이터 분석, 외국인 종합정보 플랫폼 개발... ",http://www.epnc.co.kr/news/articleView.html?idxno=215717,http://www.epnc.co.kr/news/articleView.html?idxno=215717
755,"메디치교육센터, 청년인재 집중양성사업 &apos;<b>빅데이터</b> 분야&apos; 주관기관 선정","현재 매디치이앤엔스는 &apos;Python 기반 AI 활용 <b>데이터 분석가</b> 양성 과정&apos;을 개설하고 교육 참가자를 모집하고 있다. 선발된 교육생에게는 강의와 교재 등을 무상으로 제공하며, 국내 유수 기업에서 <b>데이터 분석가</b>로... ",http://www.etnews.com/20211018000232,https://n.news.naver.com/mnews/article/030/0002976154?sid=004
756,[조이럭의 롤드컵 돋보기] 한화생명의 인상적인 점과 우려되는 부분,"데일리e스포츠는 2021 리그오브레전드 월드 챔피언십(롤드컵)서 &apos;조이럭&apos; 윤덕진 e스포츠 <b>데이터</b> 분석 전문 기업 ‘게임아이(GameEye)’ 대표가 참여한 기획 기사를 제공합니다. 윤덕진 대표는 리그 해설, <b>분석가</b>, 코치... ",http://www.dailyesports.com/view.php?ud=202110181331598810b91e133c1f_27,https://sports.news.naver.com/news.nhn?oid=347&aid=0000157404
757,"법무부-한국과학기술정보연구원, 외국인정보 <b>빅데이터</b> 분석 교육훈련","법무부와 한국과학기술정보연구원(KISTI)는 디지털 뉴딜 정책 실현을 목적으로 <b>빅데이터 분석가</b> 양성을 위한 보다 전문적인 교육과정을 개설하고, 한국과학기술정보연구원(KISTI) 과학기술 인프라를 활용한 법무부 보유... ",http://www.lawleader.co.kr/news/articleView.html?idxno=7117,http://www.lawleader.co.kr/news/articleView.html?idxno=7117
758,"KISTI, 법무부 외국인정보 <b>빅데이터</b> 분석 교육훈련 과정 추진","이를 통해 KISTI와 법무부는 디지털 및 휴먼 뉴딜 정책 실현을 목적으로 <b>빅데이터 분석가</b> 양성을 위한 보다 전문적인 교육과정을 개설하고, KISTI 과학기술 인프라를 활용한 법무부 보유데이터 분석, 외국인 종합정보... ",http://www.etnews.com/20211018000046,https://n.news.naver.com/mnews/article/030/0002975978?sid=105
759,"KISTI, 법무부 외국인정보 <b>빅데이터</b> 분석 교육훈련 추진","이를 통해 KISTI와 법무부는 디지털 및 휴먼 뉴딜 정책 실현을 목적으로 <b>빅데이터 분석가</b> 양성을 위한 보다 전문적인 교육과정을 개설하고, KISTI 과학기술 인프라를 활용한 법무부 보유데이터 분석, 외국인 종합정보... ",http://www.ccnnews.co.kr/news/articleView.html?idxno=234554,http://www.ccnnews.co.kr/news/articleView.html?idxno=234554
